"","X","Pancakes","Snowstorms","Rivers","SheepCreeks","Slate"
"1",1996,123,19,52,37,23
"2",1997,70,18,88,17,24
"3",1998,66,24,51,30,16
"4",1999,NA,NA,63,NA,30
"5",2000,51,25,40,22,29
"6",2001,NA,NA,NA,24,4
"7",2002,107,NA,55,NA,19
"8",2003,141,41,54,19,NA
"9",2004,NA,NA,72,NA,41
"10",2005,118,46,116,35,NA
"11",2006,NA,39,80,13,91
"12",2007,98,NA,116,21,93
"13",2008,NA,NA,126,32,103
"14",2009,103,51,79,26,64
"15",2010,NA,NA,NA,33,68
"16",2011,164,38,114,34,12
"17",2012,141,31,127,48,106
"18",2013,90,NA,114,40,60
"19",2014,96,26,113,46,137
"20",2015,60,25,87,35,148
